pid,session_start_boston,session_end_boston,episode_index,episode_start_epoch_sec,episode_duration_sec,episode_start_boston,episode_end_boston,episode_motion_avg
Soso,23:56:38,09:15:11,0,14406,20,03:56:44,03:57:04,
Soso,23:56:38,09:15:11,1,14590,251,03:59:48,04:03:59,
Soso,23:56:38,09:15:11,2,15175,22,04:09:33,04:09:55,
Soso,23:56:38,09:15:11,3,15518,185,04:15:16,04:18:21,
Soso,23:56:38,09:15:11,4,16166,90,04:26:04,04:27:34,
Soso,23:56:38,09:15:11,5,16653,276,04:34:11,04:38:47,
Soso,23:56:38,09:15:11,6,19052,165,05:14:10,05:16:55,
Soso,23:56:38,09:15:11,7,19276,44,05:17:54,05:18:38,
Soso,23:56:38,09:15:11,8,19631,695,05:23:49,05:35:24,
Soso,23:56:38,09:15:11,9,20618,362,05:40:16,05:46:18,
Soso,23:56:38,09:15:11,10,23185,44,06:23:03,06:23:47,
Soso,23:56:38,09:15:11,11,23790,901,06:33:08,06:48:09,
Soso,23:56:38,09:15:11,12,25570,288,07:02:48,07:07:36,
