pid,night_number,condition,episode_index,train_index,disruptive_took_place,disruptive_start_epoch_sec,first_induction_epoch_sec,train_end_epoch_sec,train_duration_sec,induction_cues_count
159532853566,4,1,0,0,True,14521,14640,14727,206,29
159532853566,4,1,0,1,True,14727,14846,14933,206,29
159532853566,4,1,0,2,True,14933,15052,15114,181,21
159532853566,4,1,4,0,True,16277,16396,16397,120,1
159532853566,4,1,6,0,True,23280,23399,23446,166,16
199302983846,1,2,0,0,True,14521,14641,14642,121,1
199302983846,1,2,1,0,True,15655,15775,15813,158,13
199302983846,1,2,4,0,True,20243,20363,20364,121,1
199302983846,1,2,5,0,True,21375,21495,21503,128,3
199302983846,1,2,7,0,True,24647,24767,24768,121,1
209652743806,1,3,0,0,True,14521,14641,14728,,29
209652743806,1,3,0,1,True,14728,14848,14935,,29
209652743806,1,3,0,2,True,14935,15055,15142,,29
209652743806,1,3,1,0,True,15578,15698,15785,,29
209652743806,1,3,1,1,True,15785,15905,15916,,4
229582903536,10,1,0,0,True,14521,,14538,17,0
239922773336,1,6,0,0,True,14526,,14560,34,0
269592263106,2,5,0,0,False,16761,16881,16895,134,5
269592263106,2,5,1,0,False,18253,18373,18450,197,26
269592263106,2,5,2,0,False,20351,20471,20472,121,1
269592263106,2,5,4,0,False,23792,23912,23935,143,8
269592263106,2,5,4,1,False,24235,24355,24363,128,3
269962413216,3,5,7,0,False,17561,17680,17706,145,6
269962413216,3,5,7,1,False,18004,18124,18145,141,5
269962413216,3,5,11,0,False,18646,18765,18960,314,39
269962413216,3,5,11,1,False,18960,19079,19091,131,3
269962413216,3,5,31,0,False,20481,20600,20651,170,11
269962413216,4,5,7,0,False,17561,17680,17706,145,6
269962413216,4,5,7,1,False,18004,18124,18145,141,5
269962413216,4,5,11,0,False,18646,18765,18960,314,39
269962413216,4,5,11,1,False,18960,19079,19091,131,3
269962413216,4,5,31,0,False,20481,20600,20651,170,11
269962413216,2,3,5,0,True,15036,15153,15229,,16
269962413216,2,3,6,0,True,17172,17289,17290,,1
