"estimate","std.error","z.value","p.value","term"
-1.66033581417257,0.382653604975517,-4.3390047619669,1.4312942167388e-05,"0|1"
-0.32678463943129,0.363281449358911,-0.899535718127012,0.368367379429267,"1|2"
0.289684548487509,0.364997361325805,0.793662034802849,0.42739220768342,"2|3"
1.1209903349254,0.378838769123228,2.95901693884125,0.00308622136887239,"3|4"
3.12956320900715,0.460744057871687,6.79241143871398,1.10274511802329e-11,"4|5"
0.47994073762136,0.465688117618129,1.03060550498074,0.30272585350567,"condition1"
-0.514715099907209,0.508674729526571,-1.01187472077935,0.311597957530417,"condition2"
-0.345539401611803,0.487703194913202,-0.708503461153868,0.478632663567849,"condition3"
-0.628933187921824,0.508048331044619,-1.23793967914165,0.215738428168409,"condition4"
-0.652636795209923,0.511983849761996,-1.27472144973579,0.202407851948189,"condition5"
0.038736057560725,0.555455905735035,0.0697374123864352,0.944402663477651,"condition6"
-0.692471205776296,0.527964638010022,-1.31158633727123,0.1896597454111,"condition7"
