"effect","component","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"fixed","cond","(Intercept)",2.1414509867717,0.270029488296879,7.93043382142517,2.18381660310227e-15,1.61220291494604,2.67069905859736
"fixed","cond","conditiontactile",0.39051789719654,0.352822454028313,1.10683969440676,0.268363242879258,-0.301001405635992,1.08203720002907
"fixed","cond","conditionflashlight",-0.317449746640906,0.372759765354035,-0.851620201926575,0.394424923324906,-1.04804546162041,0.413145968338604
"fixed","cond","conditionaudio",-0.227411546697778,0.354446573441651,-0.641596121214063,0.521135452097298,-0.922114065087045,0.467290971691488
