"estimate","std.error","z.value","p.value","term"
-2.34162188628479,0.471446668306044,-4.9668860630588,6.8036533724248e-07,"0|1"
-0.361143627235381,0.436589861134087,-0.827191969820996,0.408128262394366,"1|2"
0.391715894557501,0.439515595774395,0.891244584546143,0.372797970582985,"2|3"
1.58685011630066,0.455736546960224,3.48194615262918,0.000497783780141938,"3|4"
3.62404554742454,0.535109757808893,6.77252749466553,1.26551744198101e-11,"4|5"
0.203482731648538,0.511814968093614,0.397570888570261,0.690946522917563,"condition1"
-0.814612472983645,0.549607948795447,-1.48217010829082,0.138295038032872,"condition2"
-0.942391315739807,0.545723049377301,-1.7268673493178,0.0841914894910674,"condition3"
-1.18118443442938,0.586171082989626,-2.01508479129511,0.0438957655044069,"condition4"
-1.04129798148596,0.553000529036504,-1.88299635680316,0.0597008616888933,"condition5"
-0.664644653785716,0.582975452970595,-1.14009029093587,0.254248686450927,"condition6"
-0.53404038120822,0.573234364599652,-0.931626598452789,0.351529532152193,"condition7"
