"estimate","std.error","z.value","p.value","term"
-1.04750772615354,0.431810902625506,-2.42584825854201,0.0152726545218359,"0|1"
0.81095353369537,0.437264678610578,1.85460562758511,0.0636525639202801,"1|2"
1.85529828411833,0.456213765135741,4.0667301732255,4.76773925989289e-05,"2|3"
2.97853648113628,0.489824388281932,6.08082519448154,1.19565589704386e-09,"3|4"
5.16459861987232,0.73371669254909,7.03895477957493,1.93687210358604e-12,"4|5"
0.124904552902985,0.529584441423862,0.235853894361325,0.813546045955525,"condition1"
0.0456231198215189,0.545180030291029,0.0836845028919425,0.933307278821469,"condition2"
-0.19815803136094,0.535509685524186,-0.370036316274975,0.711355431446295,"condition3"
-0.0653940829790933,0.569595204166077,-0.114807994345448,0.908597312388892,"condition4"
-0.222765559321965,0.542277476810495,-0.410796259937258,0.681221935854659,"condition5"
0.399737711393007,0.583665202566492,0.684875009911985,0.493422796688208,"condition6"
-0.326141101807712,0.579290287372403,-0.563001156617094,0.57343409634972,"condition7"
