"effect","component","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"fixed","cond","(Intercept)",1.47465790113425,0.21597191341161,6.8280077619342,8.61019290805333e-12,1.05136072917529,1.89795507309321
"fixed","cond","condition1",0.36981973268213,0.262501292326109,1.4088301410063,0.15888540034382,-0.144673346172265,0.884312811536525
"fixed","cond","condition2",0.184551816732982,0.277267498440844,0.665609268200458,0.505660880800732,-0.358882494294587,0.727986127760551
"fixed","cond","condition3",-0.118915402741135,0.265450649991354,-0.447975556831403,0.654170837380351,-0.639189116396936,0.401358310914666
"fixed","cond","condition4",0.0288856113937256,0.289332041698628,0.0998355081039147,0.920474917473797,-0.538194769909027,0.595965992696478
"fixed","cond","condition5",-0.0710990158860302,0.275083958648488,-0.258462966126218,0.796049626870388,-0.610253667561772,0.468055635789712
"fixed","cond","condition6",0.123591481543414,0.294414037626399,0.419788005150242,0.674640328200892,-0.453449428747348,0.700632391834176
"fixed","cond","condition7",0.0490600903988754,0.280697843876841,0.174779006925329,0.861253284463615,-0.50109757413778,0.59921775493553
