"effect","component","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"fixed","cond","(Intercept)",2.14918439349072,0.258761672883976,8.30565195199666,9.9272836407025e-17,1.64202083405879,2.65634795292265
"fixed","cond","condition1",0.415445812805323,0.348396841112413,1.19244999891166,0.233084845367357,-0.26739944810253,1.09829107371318
"fixed","cond","condition2",-0.318660748555171,0.371383495717138,-0.858036913944817,0.390872080447709,-1.04655902461335,0.409237527503004
"fixed","cond","condition3",-0.273705556031364,0.353328856347143,-0.774648181473326,0.438547578456215,-0.966217389170491,0.418806277107762
"fixed","cond","condition4",-0.520995410630242,0.382434767851541,-1.3623118357076,0.173099493977719,-1.2705537820552,0.228562960794716
"fixed","cond","condition5",-0.395541597532878,0.366568149562417,-1.07903973109788,0.28057001638747,-1.11400196855471,0.32291877348895
"fixed","cond","condition6",0.0678857734884517,0.391957163973533,0.173196919786458,0.862496644708973,-0.700336151382134,0.836107698359037
"fixed","cond","condition7",-0.513629989180803,0.378506622840289,-1.3569907583824,0.174784146983577,-1.25548933785765,0.228229359496049
