"effect","component","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"fixed","cond","(Intercept)",1.49415577695463,0.226917529391631,6.58457625975606,4.56184537967524e-11,1.04940559188622,1.93890596202303
"fixed","cond","conditiontactile",-0.098656587915542,0.319864674831054,-0.308432270514555,0.757753429747784,-0.725579830511023,0.528266654679939
"fixed","cond","conditionflashlight",-0.0827824793202675,0.34732611344305,-0.238342226847395,0.811615672546225,-0.763529152558918,0.597964193918383
"fixed","cond","conditionaudio",-0.222691945146823,0.326549174086748,-0.681955315825311,0.495267206168895,-0.86271656553815,0.417332675244504
