"estimate","std.error","z.value","p.value","term"
-1.43703806968746,0.468601073121947,-3.06665552452435,0.00216468164299617,"0|1"
0.640523000292571,0.456676461594053,1.40257502665408,0.160743603149065,"1|2"
1.74209956304914,0.470090461207369,3.70588154155431,0.000210656746054375,"2|3"
3.25923366734206,0.518675550589814,6.28376190787442,3.30476712451685e-10,"3|4"
5.45307338156118,0.697552061082242,7.8174428631188,5.39071842771563e-15,"4|5"
0.616051151085974,0.528185226596773,1.16635437733718,0.243471196200796,"condition1"
0.267155498391993,0.549858420632343,0.485862339044952,0.627064771838729,"condition2"
-0.399157270753382,0.544475656312486,-0.73310398017923,0.463495012751883,"condition3"
0.0538336503421612,0.569254327515606,0.0945687151419774,0.924657400135451,"condition4"
-0.109952824380655,0.566445309488487,-0.194110221302645,0.846089578404252,"condition5"
0.304952070495657,0.599965365620135,0.508282790924861,0.611255036943939,"condition6"
-0.0591559346586829,0.57492401880409,-0.102893482832278,0.918047510194182,"condition7"
