"term","estimate","std.error","statistic","p.value","outcome","model_type"
"conditiontactile",-0.303787869416403,0.341005250229681,-0.890859801166668,0.3730043883615,"You feel more restless than usual","linear"
"conditionflashlight",-0.473841612980625,0.36367227499207,-1.30293576267522,0.192596693207031,"You feel more restless than usual","linear"
"conditionaudio",-0.925301545501894,0.342600127496274,-2.70082078563137,0.00691685984215029,"You feel more restless than usual","linear"
"conditiontactile",-0.403611963851139,0.489243080832868,-0.824972247260085,0.409387347024142,"You feel more restless than usual","ordinal"
"conditionflashlight",-0.714764159581316,0.526632713627938,-1.35723463636991,0.174706668577844,"You feel more restless than usual","ordinal"
"conditionaudio",-1.20914490736802,0.495775955692224,-2.43889380573078,0.0147322968726666,"You feel more restless than usual","ordinal"
"conditiontactile",0.39051789719654,0.352822454028313,1.10683969440676,0.268363242879258,"You woke up more than usual during last night","linear"
"conditionflashlight",-0.317449746640906,0.372759765354035,-0.851620201926575,0.394424923324906,"You woke up more than usual during last night","linear"
"conditionaudio",-0.227411546697778,0.354446573441651,-0.641596121214063,0.521135452097298,"You woke up more than usual during last night","linear"
"conditiontactile",0.47038024727076,0.494694196588761,0.95085054668993,0.341680249047136,"You woke up more than usual during last night","ordinal"
"conditionflashlight",-0.498687607960931,0.540438721902672,-0.922745887277004,0.35613964650879,"You woke up more than usual during last night","ordinal"
"conditionaudio",-0.296281073255126,0.50708316169218,-0.584284976583349,0.559028598085313,"You woke up more than usual during last night","ordinal"
"conditiontactile",0.255445421058105,0.287673081697513,0.88797123300784,0.374556225572244,"Waking up in the morning was more difficult than usual","linear"
"conditionflashlight",0.102287661220826,0.301107304842965,0.339705014045313,0.73407868541352,"Waking up in the morning was more difficult than usual","linear"
"conditionaudio",-0.15191933611871,0.286255179428386,-0.530712968834566,0.595617697653783,"Waking up in the morning was more difficult than usual","linear"
"conditiontactile",0.32214101193372,0.557837460942699,0.577481855358599,0.563613992425804,"Waking up in the morning was more difficult than usual","ordinal"
"conditionflashlight",0.149681577591625,0.566438767187234,0.264250235440098,0.791587104009332,"Waking up in the morning was more difficult than usual","ordinal"
"conditionaudio",-0.385844471244839,0.551810337305416,-0.699233858374208,0.484405894193835,"Waking up in the morning was more difficult than usual","ordinal"
"conditiontactile",-0.098656587915542,0.319864674831054,-0.308432270514555,0.757753429747784,"It took longer than usual to wake up","linear"
"conditionflashlight",-0.0827824793202675,0.34732611344305,-0.238342226847395,0.811615672546225,"It took longer than usual to wake up","linear"
"conditionaudio",-0.222691945146823,0.326549174086748,-0.681955315825311,0.495267206168895,"It took longer than usual to wake up","linear"
"conditiontactile",0.044920313550675,0.507753587017227,0.0884687271527853,0.929504138972073,"It took longer than usual to wake up","ordinal"
"conditionflashlight",0.0278305489390132,0.531737872437637,0.052338850365181,0.958258697608936,"It took longer than usual to wake up","ordinal"
"conditionaudio",-0.196022967162396,0.510600022747204,-0.383907086622764,0.701047313741436,"It took longer than usual to wake up","ordinal"
"conditiontactile",0.152463277072437,0.318704826595653,0.478383960170989,0.632376947781993,"You felt more tired than usual when waking up","linear"
"conditionflashlight",-0.377982440492227,0.334984625398699,-1.12835757773167,0.259168936068067,"You felt more tired than usual when waking up","linear"
"conditionaudio",-0.314704100803241,0.319125481596445,-0.986145321987185,0.324061806115776,"You felt more tired than usual when waking up","linear"
"conditiontactile",0.225796409654656,0.537706655220347,0.419924892992308,0.674540322134579,"You felt more tired than usual when waking up","ordinal"
"conditionflashlight",-0.776439457615784,0.57228853140885,-1.35672727130205,0.174867883887931,"You felt more tired than usual when waking up","ordinal"
"conditionaudio",-0.921600314797811,0.560869193881105,-1.64316443985899,0.100348915119027,"You felt more tired than usual when waking up","ordinal"
