"effect","component","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"fixed","cond","(Intercept)",-2.43076962730811,0.651856579129004,-3.72899454440737,0.000192245313672739,-3.70838504548644,-1.15315420912978
"fixed","cond","Age_log_z",1.00097139668432,0.473006042399127,2.1161915640809,0.0343285184034387,0.0738965891122103,1.92804620425644
"fixed","cond","baseline_LD_freq_ord_log_z",1.16414442982745,0.554003237460884,2.10133145640625,0.0356118802698333,0.078318037085531,2.24997082256938
"fixed","cond","baseline_sleep_qual_log_z",1.23325933045656,0.589243766521337,2.09295269721263,0.036353377374397,0.0783627699600111,2.38815589095311
"fixed","cond","You.feel.more.restless.than.usual_log_z",-0.746130239858034,0.387088929922924,-1.92754218005305,0.0539120966967743,-1.50481060132111,0.0125501216050454
"fixed","cond","You.woke.up.more.than.usual.during.last.night_log_z",0.830525386194075,0.41040742607048,2.02366071721969,0.043005073080474,0.0261416121081497,1.63490916028
"fixed","cond","Waking.up.in.the.morning.was.more.difficult.than.usual_log_z",0.479437159578471,0.554405683490734,0.864776776023949,0.387161320310182,-0.60717801288768,1.56605233204462
"fixed","cond","It.took.longer.than.usual.to.wake.up_log_z",-0.0255375196305039,0.432511951505775,-0.0590446565501737,0.952916539349765,-0.873245367464958,0.82217032820395
"fixed","cond","You.felt.more.tired.than.usual.when.waking.up_log_z",-0.542903227308417,0.490744216802296,-1.10628553270783,0.268602951657088,-1.50474421786223,0.418937763245399
"fixed","cond","time_asleep_log_z",0.0877768691901919,0.293029971897755,0.299549116500682,0.764521101817531,-0.486551322120191,0.662105060500575
"fixed","cond","GenderMale",-1.09581308048427,0.930456764198024,-1.1777152068197,0.238910162400711,-2.91947482748407,0.727848666515537
"fixed","cond","GenderNon-binary",-17.8959403384918,10418.3667496249,-0.00171772992529142,0.998629450486971,-20437.5195473329,20401.7276666559
