"effect","component","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"fixed","cond","(Intercept)",-10.5001304098718,3.27279878119785,-3.20830307997997,0.00133520710190619,-16.9146981496662,-4.0855626700774
"fixed","cond","cue_notice1",2.71590063070678,1.01174709065736,2.68436712671167,0.0072667261831079,0.732912771555181,4.69888848985838
"fixed","cond","disruptive_arousal_any1",-0.942513521885798,1.58664152814947,-0.59403053882314,0.552491687551507,-4.05227377343435,2.16724672966275
"fixed","cond","induction_arousal_any0",-0.380266117738755,0.978462147587752,-0.388636513610918,0.697545052062923,-2.29801668724646,1.53748445176895
"fixed","cond","rem_episode_count_log_z",-1.42535253982717,0.624795624788384,-2.28131005288319,0.0225301062741752,-2.64992946211061,-0.200775617543739
"fixed","cond","rem_minutes_log_z",1.50953330838551,0.676974415951247,2.22982327369697,0.0257591776670832,0.182687834666025,2.83637878210499
"fixed","cond","total_induction_cues_log_z",-1.05667887063038,0.713771319821728,-1.48041654418714,0.138762117527703,-2.45564495067858,0.342287209417832
"fixed","cond","rem_motion_avg_log_z",0.195581680151389,0.381709267417925,0.512383892260207,0.608382362018928,-0.552554736552913,0.94371809685569
"fixed","cond","condition1",5.36501579257176,2.65222224234842,2.02283794582059,0.0430898580433573,0.166755718572802,10.5632758665707
"fixed","cond","condition2",1.37910112018959,1.98418794216686,0.69504561079205,0.487026718201875,-2.5098357850161,5.26803802539528
"fixed","cond","condition3",1.05679109074871,2.14510903837283,0.492651455867406,0.622258883547237,-3.1475453673734,5.26112754887081
"fixed","cond","condition4",1.48993815497485,2.08661479648943,0.714045619479721,0.475198970790375,-2.59975169575281,5.57962800570251
"fixed","cond","condition5",3.30729453913331,2.18814364427555,1.51146134660108,0.130670949596688,-0.981388196646987,7.59597727491361
"fixed","cond","condition6",3.91369314610127,2.61154755015084,1.49861071680476,0.133974650895052,-1.20484599610818,9.03223228831073
"fixed","cond","condition7",3.65887064973705,2.33747249447945,1.56531067568855,0.117510081156734,-0.922491254295684,8.24023255376978
