"GVIF","Df","GVIF^(1/(2*Df))","term"
1.18387540760805,1,1.08806038784989,"cue_notice"
4.07164957111203,1,2.01783288978846,"disruptive_arousal_any"
1.93324924454308,1,1.39041333586207,"induction_arousal_any"
1.74330524866237,1,1.32034285269485,"rem_episode_count_log_z"
3.32596869923772,1,1.823723854984,"rem_minutes_log_z"
3.27592814634826,1,1.80995252599295,"total_induction_cues_log_z"
1.51237620267398,1,1.2297870558247,"rem_motion_avg_log_z"
12.4855059220127,7,1.19760809987289,"condition"
