"variable","n","mean","sd","median","p25","p75","min","max"
"While dreaming, I was aware of the fact that the things I was experiencing in the dream were not real.",41,0.975609756097561,1.03652797545577,1,0,1,0,4
"While dreaming, I was aware that the self I experienced in my dream wasn't the same as my waking self.",41,0.951219512195122,1.02350426262413,1,0,1,0,4
"While dreaming, I was aware of the fact that the body I experienced in the dream did not correspond to my real sleeping body.",41,0.902439024390244,1.044147452441,1,0,1,0,4
"I was very certain that the things I was experiencing in my dream wouldn't have any consequences on the real world.",41,0.926829268292683,1.0097089655549,1,0,1,0,4
"While dreaming, I often asked myself whether I was dreaming.",41,0.634146341463415,0.766684340552734,1,0,1,0,3
"While dreaming, I was aware of the fact that other dream characters in my dream were not real.",41,0.829268292682927,0.972173827676672,1,0,1,0,5
