"estimate","std.error","z.value","p.value","term"
-0.321986947873478,0.690706785100464,-0.466170240135465,0.641093649311338,"0|1"
3.31426454177145,0.772037138258648,4.29288226891114,1.76368536192143e-05,"1|2"
4.46391839236612,0.831528291263548,5.3683301449467,7.94689842440393e-08,"2|3"
6.42622644289858,0.90913834414575,7.06848026406457,1.56639623111981e-12,"3|4"
8.42698261891605,1.02408878196127,8.22876177080781,1.89158549559597e-16,"4|5"
0.979227307716652,0.642829169213063,1.52330876477712,0.127681475366078,"condition1"
0.14718822064829,0.680661715164546,0.216242837475746,0.828798463891599,"condition2"
-0.359894823671837,0.652539123567882,-0.55152987870527,0.581270490328666,"condition3"
-0.608568015833632,0.732759241204723,-0.830515647722287,0.406247304516685,"condition4"
-0.119751273929946,0.682468127438708,-0.175467936326009,0.860711962995972,"condition5"
0.212229233425156,0.711902609407943,0.298115543643894,0.76561497854608,"condition6"
0.413681051448412,0.676200370736832,0.611772884711137,0.540688032105647,"condition7"
