"estimate","std.error","z.value","p.value","term"
-0.225327270195725,0.629403390538324,-0.358001360626615,0.72034229531237,"0|1"
2.93635862611116,0.694859870612849,4.2258284731875,2.38063283037195e-05,"1|2"
3.96322879827887,0.739393137071654,5.36011033856106,8.31711376420027e-08,"2|3"
5.80491169674429,0.810745031015786,7.15997196982051,8.06935587748217e-13,"3|4"
7.29131378501665,0.903746784148464,8.06787245377226,7.15337173033933e-16,"4|5"
-0.189390909303536,0.651621067272149,-0.290645773772132,0.771322248139429,"condition1"
-0.0562088351273991,0.658378143754573,-0.0853746979005918,0.931963507856628,"condition2"
-0.720953546819622,0.638447793234947,-1.12922866122949,0.258801386003569,"condition3"
-0.275469470858404,0.706610119507971,-0.389846484296346,0.696650068337056,"condition4"
-0.188448218302296,0.663125288473804,-0.284181920939878,0.776270969558907,"condition5"
0.502761625896921,0.692370511706275,0.726145347608634,0.467749671735897,"condition6"
0.294051044528507,0.659727641761229,0.445715816520132,0.655802538077529,"condition7"
