"estimate","std.error","z.value","p.value","term"
-0.298814832758318,0.307302736956465,-0.972379340704181,0.330861865810337,"0|1"
2.41177238855592,0.180195478372514,13.3842003713885,7.47980147959423e-41,"1|2"
3.11033966916453,0.00374594662489492,830.321406208445,0,"2|3"
4.4239189648373,0.00338007671960376,1308.82205696086,0,"3|4"
5.70958445930337,0.00419811367730369,1360.03569654894,0,"4|5"
0.327517952786446,0.00400439996549049,81.7895204297678,0,"condition1"
0.30734038555466,0.00439166251680642,69.9826966162591,0,"condition2"
-0.46494053213707,0.439453935614265,-1.05799605933027,0.290057238973498,"condition3"
7.97948461318477e-05,0.498481954899011,0.000160075696517467,0.999872278073734,"condition4"
0.583968820620232,0.00412264475428957,141.649076121007,0,"condition5"
0.194945678819741,0.00360611435888226,54.059760567373,0,"condition6"
0.0976724362735566,0.00452460235644681,21.5869657881404,2.38143444992052e-103,"condition7"
