"estimate","std.error","z.value","p.value","term"
-0.00776266097737606,0.700500763753479,-0.0110815881709844,0.991158352850964,"0|1"
3.82165479689993,0.821320839023458,4.65305957832976,3.27045702307981e-06,"1|2"
5.1333525008917,0.876747547951045,5.85499499016372,4.77024395373035e-09,"2|3"
7.44792226745654,1.0266829959183,7.25435435968708,4.03582262166196e-13,"3|4"
-1.20087009464465,0.738393597188358,-1.62632788152187,0.10387992356421,"condition1"
-0.917765585081549,0.725652717745288,-1.26474491535453,0.205962783405768,"condition2"
-0.624190998648658,0.710723969055728,-0.878246725628181,0.379809839875874,"condition3"
-0.557344530534459,0.765740550503543,-0.727850353710477,0.466705196761479,"condition4"
-1.62737622872628,0.786277899821145,-2.06972144212175,0.0384784376046969,"condition5"
-0.0436254045182466,0.749888954288507,-0.0581758195913665,0.953608581264594,"condition6"
-0.754572221539394,0.745483299765306,-1.0121919857587,0.311446267340727,"condition7"
