"effect","component","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"fixed","cond","(Intercept)",0.770630835835824,0.222139794666238,3.46912554319088,0.000522155393710595,0.335244838756874,1.20601683291477
"fixed","cond","conditioncondition_5",0.323358662611177,0.289741359036424,1.11602521533878,0.264411341376437,-0.244523965931903,0.891241291154257
