"estimate","std.error","z.value","p.value","term"
0.18121007230162,0.646429005359839,0.280324785551273,0.779228336660494,"0|1"
3.33557207509173,0.728140272731878,4.58094710594312,4.62874912899775e-06,"1|2"
4.07354496785447,0.755654195089129,5.3907527997962,7.01631362083012e-08,"2|3"
5.7915862298209,0.823412636208736,7.03363778395153,2.01217078567856e-12,"3|4"
7.28425181342779,0.912073885778638,7.98647119165046,1.38856195414491e-15,"4|5"
0.32959447188006,0.664028729379842,0.496355740794347,0.619643445624969,"condition1"
0.0268156514557906,0.654564805145592,0.0409671452619975,0.967322088145503,"condition2"
-0.361583618198644,0.643969199470471,-0.561492100081758,0.574462114262161,"condition3"
-0.386734124453142,0.709401173320676,-0.545155744024015,0.585646406417602,"condition4"
0.188145012628707,0.679476773123431,0.276896900778283,0.781859272410754,"condition5"
0.719081671044345,0.714037191496578,1.00706472941164,0.313903669230117,"condition6"
0.550102267391703,0.677928165555564,0.811446249531309,0.417109448445487,"condition7"
