"effect","component","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"fixed","cond","(Intercept)",1.00958532784326,0.192082416412581,5.25600076622698,1.47221676354465e-07,0.633110709611173,1.38605994607534
"fixed","cond","condition1",0.417659143385767,0.210903637635756,1.9803316247541,0.0476662774736905,0.00429560941119839,0.831022677360336
"fixed","cond","condition2",0.0744744689404385,0.221172618975857,0.336725537208419,0.736323810551664,-0.359015898618642,0.507964836499519
"fixed","cond","condition3",-0.163099841702768,0.214265125543482,-0.761205731866383,0.446534195199724,-0.583051770910946,0.256852087505409
"fixed","cond","condition4",-0.28894267101202,0.233989586504689,-1.23485269292627,0.216885332437862,-0.74755383331863,0.16966849129459
"fixed","cond","condition5",-0.0672532125688144,0.222819876330181,-0.301827707996556,0.762783407417592,-0.503972145215637,0.369465720078008
"fixed","cond","condition6",0.036087645684348,0.23579832501062,0.153044537880931,0.878363152829983,-0.426068578951337,0.498243870320033
"fixed","cond","condition7",0.122102226321697,0.223383207417027,0.546604320591334,0.584650600121662,-0.315720814966716,0.55992526761011
